,visitor_score,home_score,MOV,mov
542,5,7,2,-2
543,10,6,4,4
544,4,1,3,3
545,1,2,1,-1
546,0,4,4,-4
547,5,1,4,4
548,1,5,4,-4
549,3,5,2,-2
550,6,3,3,3
551,1,2,1,-1
552,2,5,3,-3
553,1,13,12,-12
554,3,4,1,-1
555,2,7,5,-5
556,1,2,1,-1
557,8,10,2,-2
558,4,2,2,2
559,1,0,1,1
560,3,4,1,-1
561,4,3,1,1
562,9,11,2,-2
563,4,8,4,-4
564,3,4,1,-1
565,3,4,1,-1
566,8,3,5,5
567,3,2,1,1
568,2,4,2,-2
569,3,6,3,-3
570,5,1,4,4
571,2,6,4,-4
572,2,12,10,-10
573,1,3,2,-2
574,2,6,4,-4
575,3,4,1,-1
576,6,2,4,4
577,7,6,1,1
578,5,6,1,-1
579,2,6,4,-4
580,7,8,1,-1
581,2,11,9,-9
582,2,3,1,-1
583,2,6,4,-4
584,4,5,1,-1
585,0,8,8,-8
586,3,7,4,-4
587,2,1,1,1
588,7,6,1,1
589,2,3,1,-1
590,2,3,1,-1
591,3,2,1,1
592,8,4,4,4
593,10,6,4,4
594,5,1,4,4
595,3,2,1,1
596,3,4,1,-1
597,1,13,12,-12
598,4,5,1,-1
599,3,7,4,-4
600,10,5,5,5
601,4,1,3,3
602,4,6,2,-2
603,5,1,4,4
604,3,5,2,-2
605,2,6,4,-4
606,6,5,1,1
607,9,3,6,6
608,8,6,2,2
609,5,2,3,3
610,3,4,1,-1
611,7,13,6,-6
612,7,8,1,-1
613,9,10,1,-1
614,4,0,4,4
615,1,4,3,-3
616,4,5,1,-1
617,4,3,1,1
618,2,4,2,-2
619,10,7,3,3
620,0,8,8,-8
621,7,4,3,3
622,2,9,7,-7
623,3,15,12,-12
624,1,6,5,-5
625,8,15,7,-7
626,1,2,1,-1
627,6,8,2,-2
628,1,2,1,-1
629,1,4,3,-3
630,2,1,1,1
631,1,5,4,-4
632,7,0,7,7
633,5,9,4,-4
634,5,3,2,2
635,1,4,3,-3
636,6,4,2,2
637,3,0,3,3
638,7,8,1,-1
639,0,1,1,-1
640,2,1,1,1
641,5,4,1,1
642,5,8,3,-3
643,4,2,2,2
644,4,6,2,-2
645,3,5,2,-2
646,5,0,5,5
647,4,2,2,2
648,10,7,3,3
649,6,7,1,-1
650,13,0,13,13
651,3,4,1,-1
652,11,7,4,4
653,4,3,1,1
654,0,3,3,-3
655,8,1,7,7
656,5,4,1,1
657,12,4,8,8
658,10,6,4,4
659,6,2,4,4
660,4,6,2,-2
661,8,3,5,5
662,2,3,1,-1
663,5,6,1,-1
664,3,4,1,-1
665,6,0,6,6
666,7,2,5,5
667,6,1,5,5
668,5,7,2,-2
669,3,8,5,-5
670,1,5,4,-4
671,3,7,4,-4
672,8,7,1,1
673,1,0,1,1
674,3,5,2,-2
675,2,0,2,2
676,0,3,3,-3
677,2,1,1,1
678,2,3,1,-1
679,4,6,2,-2
680,1,6,5,-5
681,0,8,8,-8
682,0,1,1,-1
683,2,4,2,-2
684,5,6,1,-1
685,6,1,5,5
686,5,4,1,1
687,2,5,3,-3
688,3,2,1,1
689,4,5,1,-1
690,11,3,8,8
691,8,5,3,3
692,0,4,4,-4
693,3,7,4,-4
694,7,3,4,4
695,5,0,5,5
696,0,5,5,-5
697,1,2,1,-1
698,7,3,4,4
699,7,5,2,2
700,4,3,1,1
701,2,8,6,-6
702,1,5,4,-4
703,0,1,1,-1
704,2,8,6,-6
705,2,8,6,-6
706,8,3,5,5
707,3,4,1,-1
708,0,3,3,-3
709,8,3,5,5
710,4,5,1,-1
711,8,3,5,5
712,12,5,7,7
713,5,4,1,1
714,1,2,1,-1
715,2,8,6,-6
716,4,2,2,2
717,0,5,5,-5
718,3,7,4,-4
719,7,1,6,6
720,6,15,9,-9
721,5,4,1,1
722,3,2,1,1
723,0,2,2,-2
724,5,3,2,2
725,0,5,5,-5
726,1,5,4,-4
727,0,1,1,-1
728,6,0,6,6
729,3,8,5,-5
730,13,11,2,2
731,5,8,3,-3
732,2,5,3,-3
733,3,6,3,-3
734,0,5,5,-5
735,2,12,10,-10
736,3,11,8,-8
737,1,0,1,1
738,6,8,2,-2
739,2,4,2,-2
740,1,12,11,-11
741,7,9,2,-2
742,1,8,7,-7
743,2,10,8,-8
744,3,6,3,-3
745,3,7,4,-4
746,8,5,3,3
747,1,6,5,-5
748,2,5,3,-3
749,9,1,8,8
750,2,0,2,2
751,4,3,1,1
752,0,1,1,-1
753,10,4,6,6
754,2,3,1,-1
755,5,6,1,-1
756,4,1,3,3
757,7,1,6,6
758,2,11,9,-9
759,5,4,1,1
760,2,3,1,-1
761,3,9,6,-6
762,5,13,8,-8
763,14,4,10,10
764,4,5,1,-1
765,1,2,1,-1
766,6,18,12,-12
767,4,0,4,4
768,4,12,8,-8
769,4,9,5,-5
770,9,6,3,3
771,3,2,1,1
772,3,6,3,-3
773,1,3,2,-2
774,1,7,6,-6
775,7,6,1,1
776,3,7,4,-4
777,4,6,2,-2
778,7,8,1,-1
779,0,1,1,-1
780,2,3,1,-1
781,4,2,2,2
782,2,1,1,1
783,9,8,1,1
784,4,6,2,-2
785,9,5,4,4
786,0,3,3,-3
787,7,2,5,5
788,1,9,8,-8
789,1,2,1,-1
790,7,3,4,4
791,1,2,1,-1
792,7,4,3,3
793,1,5,4,-4
794,0,1,1,-1
795,1,5,4,-4
796,1,4,3,-3
797,1,4,3,-3
798,9,8,1,1
799,3,4,1,-1
800,6,12,6,-6
801,5,4,1,1
802,3,6,3,-3
803,1,4,3,-3
804,2,3,1,-1
805,4,6,2,-2
806,4,3,1,1
807,11,0,11,11
808,10,1,9,9
809,3,7,4,-4
810,5,4,1,1
811,7,1,6,6
812,6,9,3,-3
813,1,6,5,-5
814,6,7,1,-1
815,1,3,2,-2
816,4,5,1,-1
817,3,4,1,-1
818,2,3,1,-1
819,6,4,2,2
820,0,8,8,-8
821,2,4,2,-2
822,8,2,6,6
823,3,1,2,2
824,4,2,2,2
